OID,area_m2,length_m,width_m,name
35910,874.2850572,70,21,Roback2017_Gorkha
35911,993.4887457,66,21,Roback2017_Gorkha
35912,1225.610562,98,19,Roback2017_Gorkha
35913,494.027696,45,22,Roback2017_Gorkha
35914,236.4165051,30,12,Roback2017_Gorkha
35915,93.38073237,24,7,Roback2017_Gorkha
35916,51.09660081,12,6,Roback2017_Gorkha
35917,437.7731914,53,12,Roback2017_Gorkha
35918,126.026258,19,9,Roback2017_Gorkha
35919,127.0738435,23,8,Roback2017_Gorkha
35920,37.97395768,17,3,Roback2017_Gorkha
35921,579.276005,37,26,Roback2017_Gorkha
35922,783.5668619,104,21,Roback2017_Gorkha
35923,74.01909498,13,7,Roback2017_Gorkha
35924,818.8977967,79,25,Roback2017_Gorkha
35925,648.5656352,33,24,Roback2017_Gorkha
35926,191.0369233,29,11,Roback2017_Gorkha
35927,637.7226527,109,11,Roback2017_Gorkha
35928,1041.557642,172,29,Roback2017_Gorkha
35929,1534.051607,133,24,Roback2017_Gorkha
35930,116.3653761,24,8,Roback2017_Gorkha
35931,118.0031244,20,8,Roback2017_Gorkha
35932,308.0820496,43,17,Roback2017_Gorkha
35933,152.1265265,19,10,Roback2017_Gorkha
35934,539.7805047,37,20,Roback2017_Gorkha
35935,63.7196515,17,6,Roback2017_Gorkha
35936,447.0974844,63,14,Roback2017_Gorkha
35937,50.02067752,15,6,Roback2017_Gorkha
35938,546.9979822,89,10,Roback2017_Gorkha
35939,547.4913014,89,15,Roback2017_Gorkha
35940,305.9843693,42,12,Roback2017_Gorkha
35941,481.0097684,52,14,Roback2017_Gorkha
35942,232.9980312,32,10,Roback2017_Gorkha
35943,210.9710527,43,9,Roback2017_Gorkha
35944,145.3770674,22,10,Roback2017_Gorkha
35945,787.3962892,79,18,Roback2017_Gorkha
35946,170.1716755,20,11,Roback2017_Gorkha
35947,55.90078244,12,7,Roback2017_Gorkha
35948,203.9589395,29,9,Roback2017_Gorkha
35949,1276.995575,73,29,Roback2017_Gorkha
35950,2423.131648,123,31,Roback2017_Gorkha
35951,1016.798209,97,18,Roback2017_Gorkha
35952,738.5227715,99,12,Roback2017_Gorkha
35953,575.2814467,45,18,Roback2017_Gorkha
35954,1437.147261,73,35,Roback2017_Gorkha
35955,409.1261414,28,18,Roback2017_Gorkha
35956,242.8795332,27,13,Roback2017_Gorkha
35957,534.0534382,54,16,Roback2017_Gorkha
35958,683.0268681,50,20,Roback2017_Gorkha
35959,147.1797691,27,7,Roback2017_Gorkha
35960,426.5590027,42,12,Roback2017_Gorkha
35961,25.02926625,7,5,Roback2017_Gorkha
35962,192.9935637,43,8,Roback2017_Gorkha
35963,105.1311928,21,7,Roback2017_Gorkha
35964,434.2664657,53,21,Roback2017_Gorkha
35965,333.8852711,28,15,Roback2017_Gorkha
35966,384.6795505,65,11,Roback2017_Gorkha
35967,1051.923588,71,23,Roback2017_Gorkha
35968,380.1235312,49,19,Roback2017_Gorkha
35969,2704.806742,191,48,Roback2017_Gorkha
35970,240.6404716,32,11,Roback2017_Gorkha
35971,273.7195798,31,16,Roback2017_Gorkha
35972,461.8959586,48,16,Roback2017_Gorkha
35973,1964.144428,94,39,Roback2017_Gorkha
35974,767.9937875,74,17,Roback2017_Gorkha
35975,659.7825496,104,13,Roback2017_Gorkha
35976,80.59329869,11,10,Roback2017_Gorkha
35977,882.2155595,51,41,Roback2017_Gorkha
35978,706.9199611,48,25,Roback2017_Gorkha
35979,1248.383766,78,54,Roback2017_Gorkha
35980,1448.701901,72,27,Roback2017_Gorkha
35981,2464.521006,178,57,Roback2017_Gorkha
35982,317.4318708,26,15,Roback2017_Gorkha
35983,841.8511138,38,34,Roback2017_Gorkha
35984,5016.165953,174,59,Roback2017_Gorkha
35985,1092.347982,46,34,Roback2017_Gorkha
35986,1370.831718,63,35,Roback2017_Gorkha
35987,1375.799506,53,34,Roback2017_Gorkha
35988,4677.091084,94,74,Roback2017_Gorkha
35989,338.2871988,34,14,Roback2017_Gorkha
35990,2737.258887,164,37,Roback2017_Gorkha
35991,2971.898761,104,60,Roback2017_Gorkha
35992,2378.150856,80,45,Roback2017_Gorkha
35993,437.4642661,48,15,Roback2017_Gorkha
35994,197.5875693,30,10,Roback2017_Gorkha
35995,179.4425838,26,10,Roback2017_Gorkha
35996,916.7729495,63,22,Roback2017_Gorkha
35997,2026.450827,86,45,Roback2017_Gorkha
35998,1018.503664,95,20,Roback2017_Gorkha
35999,2377.40611,134,44,Roback2017_Gorkha
36000,987.5729914,92,16,Roback2017_Gorkha
36001,1459.895012,79,24,Roback2017_Gorkha
36002,372.995956,40,14,Roback2017_Gorkha
36003,410.947897,56,11,Roback2017_Gorkha
36004,237.7719539,29,10,Roback2017_Gorkha
36005,2852.670109,122,31,Roback2017_Gorkha
36006,5377.681952,210,48,Roback2017_Gorkha
36007,7070.038993,202,161,Roback2017_Gorkha
36008,836.8112066,49,25,Roback2017_Gorkha
36009,1050.977285,96,15,Roback2017_Gorkha
36010,1624.120645,127,28,Roback2017_Gorkha
36011,1096.953238,115,14,Roback2017_Gorkha
36012,745.7078948,60,18,Roback2017_Gorkha
36013,2477.003845,74,58,Roback2017_Gorkha
36014,1609.363801,56,37,Roback2017_Gorkha
36015,2266.435524,81,63,Roback2017_Gorkha
36016,1127.745104,88,51,Roback2017_Gorkha
36017,322.38354,39,10,Roback2017_Gorkha
36018,186.505768,27,11,Roback2017_Gorkha
36019,321.3718058,28,14,Roback2017_Gorkha
36020,1204.004077,69,24,Roback2017_Gorkha
36021,350.1871786,39,11,Roback2017_Gorkha
36022,4930.134847,188,57,Roback2017_Gorkha
36023,438.1366569,47,13,Roback2017_Gorkha
36024,1775.737671,159,31,Roback2017_Gorkha
36025,2810.709224,215,50,Roback2017_Gorkha
36026,4598.384813,410,41,Roback2017_Gorkha
36027,359.6152477,26,19,Roback2017_Gorkha
36028,945.6431176,69,19,Roback2017_Gorkha
36029,1325.983654,75,27,Roback2017_Gorkha
36030,78.68511392,16,6,Roback2017_Gorkha
36031,250.8686322,22,15,Roback2017_Gorkha
36032,1608.38282,58,38,Roback2017_Gorkha
36033,627.8290932,59,15,Roback2017_Gorkha
36034,143.3313711,21,9,Roback2017_Gorkha
36035,258.0820205,29,12,Roback2017_Gorkha
36036,76.55328042,15,6,Roback2017_Gorkha
36037,50.58463285,11,6,Roback2017_Gorkha
36038,428.6538924,38,14,Roback2017_Gorkha
36039,158.990043,23,10,Roback2017_Gorkha
36040,360.3166751,72,12,Roback2017_Gorkha
36041,672.2316438,64,19,Roback2017_Gorkha
36042,774.8952742,76,32,Roback2017_Gorkha
36043,595.6324723,68,17,Roback2017_Gorkha
36044,214.2964186,40,7,Roback2017_Gorkha
36045,304.9191665,60,11,Roback2017_Gorkha
36046,148.2669349,23,9,Roback2017_Gorkha
36047,166.2342584,24,9,Roback2017_Gorkha
36048,904.3436038,55,24,Roback2017_Gorkha
36049,1291.611257,92,23,Roback2017_Gorkha
36050,909.8169302,129,15,Roback2017_Gorkha
36051,570.4004161,60,13,Roback2017_Gorkha
36052,862.5881234,57,28,Roback2017_Gorkha
36053,951.5451043,40,35,Roback2017_Gorkha
